127.0.0.1 - - [12/May/2025:15:09:48 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/May/2025:15:10:19 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:10:19 +0700] "GET /SICT-portal/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2025:15:10:19 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/May/2025:15:10:25 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 83205
0:0:0:0:0:0:0:1 - - [12/May/2025:15:10:30 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 81206
0:0:0:0:0:0:0:1 - - [12/May/2025:15:10:31 +0700] "GET /SICT-portal/admin?action=teacherList HTTP/1.1" 200 20505
0:0:0:0:0:0:0:1 - - [12/May/2025:15:10:33 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [12/May/2025:15:11:52 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [12/May/2025:15:11:54 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:05 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:06 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:19 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 31046
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:25 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 83205
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:28 +0700] "GET /SICT-portal/admin?action=searchAccount&accountID=TK_0034 HTTP/1.1" 200 83348
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:36 +0700] "GET /SICT-portal/admin?action=searchAccount&accountID=TK_0001 HTTP/1.1" 200 10825
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:38 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 83205
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:40 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 81206
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:42 +0700] "GET /SICT-portal/admin?action=searchStudent&studentID=SV_0001 HTTP/1.1" 200 10808
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:46 +0700] "GET /SICT-portal/admin?action=searchStudent&studentID=SV_0031 HTTP/1.1" 200 81347
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:49 +0700] "GET /SICT-portal/admin?action=teacherList HTTP/1.1" 200 20505
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:51 +0700] "GET /SICT-portal/admin?action=searchTeacher&teacherID=GV_006 HTTP/1.1" 200 8517
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:55 +0700] "GET /SICT-portal/admin?action=searchTeacher&teacherID=GV_001 HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [12/May/2025:15:12:57 +0700] "GET /SICT-portal/admin?action=searchTeacher&teacherID=GV_006 HTTP/1.1" 200 8517
0:0:0:0:0:0:0:1 - - [12/May/2025:15:13:04 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 31046
0:0:0:0:0:0:0:1 - - [12/May/2025:15:13:08 +0700] "GET /SICT-portal/admin?action=searchClassroom&classroomID=LTJW_01 HTTP/1.1" 200 10498
0:0:0:0:0:0:0:1 - - [12/May/2025:15:13:11 +0700] "GET /SICT-portal/admin?action=searchClassroom&classroomID=LTJW_09 HTTP/1.1" 200 8374
0:0:0:0:0:0:0:1 - - [12/May/2025:15:13:14 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 83205
